Season,Team,Budget,position,points,Cost per Point,Cost per Position,predicted_position,predicted_points
2015-2016,Villarreal,140.6,4,64,2.196875,35.15,11.0,50.02967638442323
2015-2016,Sociedad,119.4,9,48,2.4875000000000003,13.266666666666667,12.0,48.672400693067154
2015-2016,Ath Bilbao,148.0,5,62,2.3870967741935485,29.6,11.0,50.50344242763243
2015-2016,Betis,56.4,10,45,1.2533333333333334,5.64,13.0,44.63898708196183
2015-2016,Espanol,62.2,13,43,1.4465116279069767,4.7846153846153845,13.0,45.0103172239366
2015-2016,Malaga,77.95,8,48,1.6239583333333334,9.74375,12.0,46.01867062671293
2015-2016,Levante,53.1,20,32,1.659375,2.6550000000000002,13.0,44.42771303566583
2015-2016,Granada,71.5,16,39,1.8333333333333333,4.46875,12.0,45.605725899861675
2015-2016,Celta,91.1,6,60,1.5183333333333333,15.183333333333332,12.0,46.86056568998333
2015-2016,Vallecano,49.6,18,38,1.305263157894737,2.7555555555555555,13.0,44.203634501715534
2015-2016,Getafe,49.1,19,36,1.363888888888889,2.5842105263157897,13.0,44.17162328257978
2015-2016,Eibar,56.6,14,43,1.3162790697674418,4.042857142857143,13.0,44.65179156961613
2015-2016,Las Palmas,32.2,11,44,0.7318181818181819,2.9272727272727277,13.0,43.089644075791206
2015-2016,La Coruna,61.75,15,42,1.4702380952380953,4.116666666666666,13.0,44.98150712671442
2015-2016,Sp Gijon,53.2,17,39,1.3641025641025641,3.1294117647058823,13.0,44.434115279492985
2016-2017,Real Madrid,802.9,1,93,8.633333333333333,802.9,1.0,92.43173725164637
2016-2017,Barcelona,765.3,2,90,8.503333333333332,382.65,1.0,90.02449357263748
2016-2017,Ath Madrid,515.8,3,78,6.612820512820512,171.9333333333333,5.0,74.05089522389494
2016-2017,Sevilla,270.1,4,72,3.751388888888889,67.525,9.0,58.32058214058418
2016-2017,Villarreal,190.7,5,67,2.846268656716418,38.14,10.0,53.23720054182604
2016-2017,Sociedad,156.45,6,64,2.44453125,26.075,11.0,51.044432031026716
2016-2017,Ath Bilbao,172.6,7,63,2.7396825396825397,24.657142857142855,11.0,52.07839440911165
2016-2017,Espanol,80.8,8,56,1.4428571428571428,10.1,12.0,46.201134575786746
2016-2017,Alaves,85.4,9,55,1.5527272727272727,9.488888888888889,12.0,46.495637791835705
2016-2017,Eibar,67.95,10,54,1.2583333333333333,6.795,12.0,45.3784462439978
2016-2017,Malaga ,84.3,11,46,1.8326086956521739,7.663636363636363,12.0,46.425213109737044
