Season,Team,Budget,position,points,Cost per Point,Cost per Position
2016-2017,Valencia,257.5,12,46,5.5978260869565215,21.458333333333332
2016-2017,Celta,122.4,13,45,2.72,9.415384615384616
2016-2017,Las Palmas,84.3,14,39,2.1615384615384614,6.021428571428571
2016-2017,Betis,84.2,15,39,2.158974358974359,5.613333333333333
2016-2017,La Coruna,94.0,16,36,2.611111111111111,5.875
2016-2017,Leganes,53.15,17,35,1.5185714285714285,3.126470588235294
2016-2017,Sp Gijon,46.75,18,31,1.5080645161290323,2.5972222222222223
2016-2017,Osasuna,42.9,19,22,1.95,2.2578947368421054
2016-2017,Granada,66.45,20,20,3.3225000000000002,3.3225000000000002
2017-2018,Barcelona,1090.0,1,93,11.720430107526882,1090.0
2017-2018,Real Madrid,955.35,3,76,12.570394736842106,318.45
2017-2018,Ath Madrid,711.15,2,79,9.001898734177216,355.575
2017-2018,Valencia,398.05,4,73,5.4527397260273975,99.5125
2017-2018,Sevilla,253.2,7,58,4.36551724137931,36.17142857142857
2017-2018,Ath Bilbao,249.4,16,43,5.8,15.5875
2017-2018,Sociedad,232.95,12,49,4.754081632653061,19.412499999999998
2017-2018,Villarreal,220.0,5,61,3.6065573770491803,44.0
2017-2018,Celta,173.05,13,49,3.5316326530612248,13.311538461538463
2017-2018,Betis,132.25,6,60,2.2041666666666666,22.041666666666668
2017-2018,Espanol,97.8,11,49,1.9959183673469387,8.89090909090909
2017-2018,Las Palmas,91.25,19,22,4.1477272727272725,4.802631578947368
2017-2018,Girona,81.75,10,51,1.6029411764705883,8.175
2017-2018,Alaves,74.8,14,47,1.5914893617021275,5.3428571428571425
2017-2018,La Coruna,66.45,18,29,2.2913793103448277,3.691666666666667
2017-2018,Getafe,65.6,8,55,1.1927272727272726,8.2
2017-2018,Levante,61.85,15,46,1.3445652173913043,4.123333333333333
2017-2018,Eibar,60.05,9,51,1.177450980392157,6.672222222222222
2017-2018,Leganes,58.55,17,43,1.361627906976744,3.4441176470588233
2017-2018,Malaga,55.2,20,20,2.7600000000000002,2.7600000000000002
2018-2019,Barcelona,1160.0,1,87,13.333333333333334,1160.0
2018-2019,Real Madrid,896.1,3,68,13.177941176470588,298.7
2018-2019,Ath Madrid,969.7,2,76,12.75921052631579,484.85
2018-2019,Valencia,499.65,4,61,8.190983606557376,124.9125
2018-2019,Sevilla,306.3,6,59,5.191525423728813,51.050000000000004
2018-2019,Villarreal,230.65,14,44,5.242045454545455,16.475
2018-2019,Betis,290.75,10,50,5.815,29.075
2018-2019,Ath Bilbao,234.25,8,53,4.419811320754717,29.28125
2018-2019,Sociedad,300.95,9,50,6.019,33.43888888888889
2018-2019,Espanol,174.7,7,53,3.2962264150943392,24.957142857142856
2018-2019,Leganes,112.45,13,45,2.498888888888889,8.65
2018-2019,Levante,107.85,15,44,2.4511363636363637,7.1899999999999995
2018-2019,Celta,234.1,17,41,5.709756097560976,13.770588235294117
2018-2019,Eibar,93.9,12,47,1.997872340425532,7.825
2018-2019,Getafe,132.2,5,59,2.240677966101695,26.439999999999998
2018-2019,Alaves,110.8,11,50,2.2159999999999997,10.072727272727272
2018-2019,Girona,97.25,18,37,2.6283783783783785,5.402777777777778
2018-2019,Vallecano,86.7,20,32,2.709375,4.335
2018-2019,Huesca,61.4,19,33,1.8606060606060606,3.231578947368421
2018-2019,Valladolid,83.0,16,41,2.024390243902439,5.1875
